                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0903,                0.69126,                 1.3283,                0.97643,                0.95017,                0.97752,                0.65328,                 1.1865,                0.46717,                 1.4838,               0.002476,               0.002476,               0.002476
                     79,                 1.0886,                0.67632,                 1.3251,                0.97424,                0.95006,                0.97777,                0.65449,                 1.1841,                0.46659,                 1.4827,               0.002377,               0.002377,               0.002377
                     80,                 1.0788,                0.67751,                 1.3181,                0.97418,                0.95278,                0.97805,                0.65573,                 1.1835,                0.46614,                 1.4827,               0.002278,               0.002278,               0.002278
                     81,                 1.0766,                0.68091,                 1.3147,                0.97393,                0.95233,                0.97696,                0.65565,                 1.1826,                0.46543,                 1.4823,               0.002179,               0.002179,               0.002179
                     82,                  1.078,                0.68033,                 1.3205,                0.97241,                0.95332,                0.97724,                0.65656,                 1.1807,                0.46552,                 1.4803,                0.00208,                0.00208,                0.00208
                     83,                 1.0782,                0.67726,                 1.3165,                 0.9719,                0.95276,                0.97827,                0.65721,                 1.1791,                0.46474,                 1.4777,               0.001981,               0.001981,               0.001981
                     84,                 1.0773,                0.66704,                 1.3149,                0.97309,                 0.9526,                0.97845,                0.65822,                  1.177,                0.46508,                 1.4752,               0.001882,               0.001882,               0.001882
                     85,                 1.0639,                0.66334,                 1.3089,                0.97209,                0.95172,                0.97853,                0.65826,                 1.1753,                0.46402,                  1.474,               0.001783,               0.001783,               0.001783
                     86,                 1.0633,                0.65707,                 1.3097,                0.97314,                0.94999,                0.97845,                0.65834,                 1.1741,                 0.4632,                 1.4736,               0.001684,               0.001684,               0.001684
                     87,                 1.0656,                0.65208,                  1.311,                0.96866,                0.95274,                0.97802,                0.65971,                 1.1727,                0.46236,                 1.4723,               0.001585,               0.001585,               0.001585
                     88,                 1.0541,                0.64614,                 1.3026,                0.96891,                0.95389,                0.97809,                0.65869,                 1.1722,                0.46213,                 1.4721,               0.001486,               0.001486,               0.001486
                     89,                 1.0544,                0.64862,                 1.3038,                0.97363,                0.94943,                0.97834,                 0.6598,                 1.1707,                0.46096,                 1.4716,               0.001387,               0.001387,               0.001387
                     90,                 1.0526,                0.64446,                 1.2997,                0.97236,                0.95016,                0.97853,                0.66091,                 1.1694,                0.45988,                  1.471,               0.001288,               0.001288,               0.001288
                     91,                0.97531,                0.42151,                 1.3163,                0.97182,                0.95069,                0.97828,                0.66009,                 1.1695,                0.46023,                 1.4712,               0.001288,               0.001288,               0.001288
                     92,                0.96536,                0.41193,                 1.3077,                0.96992,                  0.952,                0.97797,                0.66067,                 1.1694,                0.46045,                 1.4714,                0.00109,                0.00109,                0.00109
                     93,                0.95931,                0.41055,                 1.3029,                0.97003,                0.95173,                0.97796,                0.66055,                 1.1681,                0.45943,                 1.4709,               0.000991,               0.000991,               0.000991
                     94,                0.95735,                0.40615,                 1.2981,                 0.9703,                0.95031,                0.97792,                 0.6611,                 1.1662,                0.45898,                 1.4704,               0.000892,               0.000892,               0.000892
                     95,                0.94273,                0.40053,                 1.2897,                0.97204,                 0.9492,                0.97806,                0.66187,                 1.1658,                0.45815,                 1.4704,               0.000793,               0.000793,               0.000793
                     96,                0.93938,                0.39917,                 1.2893,                0.97088,                0.94918,                0.97742,                0.66216,                  1.165,                0.45824,                 1.4701,               0.000694,               0.000694,               0.000694
                     97,                0.93916,                0.39345,                 1.2891,                0.97098,                0.95075,                0.97762,                0.66224,                 1.1642,                 0.4584,                   1.47,               0.000595,               0.000595,               0.000595
                     98,                 0.9323,                0.39247,                 1.2824,                0.97127,                 0.9504,                0.97753,                0.66268,                 1.1632,                 0.4584,                 1.4694,               0.000496,               0.000496,               0.000496
                     99,                0.92532,                0.38701,                 1.2773,                0.97327,                 0.9489,                0.97774,                0.66298,                 1.1624,                 0.4584,                 1.4691,               0.000397,               0.000397,               0.000397
                    100,                0.91897,                0.38654,                 1.2701,                0.97271,                0.94811,                0.97713,                0.66291,                 1.1619,                0.45868,                 1.4688,               0.000298,               0.000298,               0.000298
