                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0486,                0.69603,                 1.2993,                0.94958,                0.91634,                0.95427,                0.62922,                 1.2162,                0.54701,                 1.4973,               0.003268,               0.003268,               0.003268
                     71,                 1.0543,                0.69378,                  1.299,                0.95205,                0.91286,                0.95189,                0.62924,                 1.2082,                0.54961,                 1.4921,               0.003169,               0.003169,               0.003169
                     72,                 1.0496,                0.68849,                 1.2956,                0.94581,                0.90923,                0.95149,                0.62909,                 1.2118,                0.55252,                 1.4953,                0.00307,                0.00307,                0.00307
                     73,                 1.0443,                 0.6888,                 1.2918,                0.95303,                0.90286,                 0.9511,                0.63142,                 1.2076,                0.55173,                 1.4927,               0.002971,               0.002971,               0.002971
                     74,                 1.0433,                0.69325,                 1.2877,                0.94464,                0.90952,                0.94981,                0.62924,                 1.2108,                0.54966,                 1.4953,               0.002872,               0.002872,               0.002872
                     75,                 1.0342,                0.67641,                 1.2882,                0.94064,                 0.9104,                0.95115,                0.62848,                 1.2105,                0.54962,                 1.4948,               0.002773,               0.002773,               0.002773
                     76,                  1.035,                0.67101,                  1.284,                0.93517,                0.91757,                0.95152,                0.62608,                 1.2207,                0.55038,                 1.5004,               0.002674,               0.002674,               0.002674
                     77,                 1.0284,                0.67117,                 1.2812,                0.94922,                0.91623,                0.95342,                0.62742,                 1.2188,                 0.5495,                 1.4976,               0.002575,               0.002575,               0.002575
                     78,                 1.0331,                0.66692,                 1.2901,                0.94443,                0.91516,                0.95465,                0.62834,                 1.2212,                0.54412,                 1.5021,               0.002476,               0.002476,               0.002476
                     79,                 1.0182,                0.66173,                 1.2747,                 0.9564,                0.91075,                0.95609,                0.62883,                 1.2169,                0.53976,                    1.5,               0.002377,               0.002377,               0.002377
